═══════════════════════════════════════════════════════════════
  Site            : tvgids.nl
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 43s
  Channels        : 230
  With programmes : 225
  Empty channels  : 5
  Total programs  : 10361
  Output size     : 3485713 bytes
  HTTP errors     :
    5 status code 404
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 12:37:34
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:36:51 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tvgids.nl --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 115 channel(s)
ℹ loading api data...
ℹ   [140/230] tvgids.nl (nl) - oranjetv - Apr 25, 2026 (15 programs)
ℹ   [141/230] tvgids.nl (nl) - paramountnetwork - Apr 24, 2026 (37 programs)
ℹ   [142/230] tvgids.nl (nl) - OUTtv.nl@SD - Apr 24, 2026 (29 programs)
ℹ   [143/230] tvgids.nl (nl) - OUTtv.nl@SD - Apr 25, 2026 (28 programs)
ℹ   [144/230] tvgids.nl (nl) - paramountnetwork - Apr 25, 2026 (37 programs)
ℹ   [145/230] tvgids.nl (nl) - Play4.be@SD - Apr 24, 2026 (24 programs)
ℹ   [146/230] tvgids.nl (nl) - PebbleTV.nl@SD - Apr 24, 2026 (29 programs)
ℹ   [147/230] tvgids.nl (nl) - PebbleTV.nl@SD - Apr 25, 2026 (26 programs)
ℹ   [148/230] tvgids.nl (nl) - Play4.be@SD - Apr 25, 2026 (39 programs)
ℹ   [149/230] tvgids.nl (nl) - ProSieben.de@SD - Apr 24, 2026 (40 programs)
ℹ   [150/230] tvgids.nl (it) - Rai1.it@SD - Apr 24, 2026 (39 programs)
ℹ   [151/230] tvgids.nl (nl) - ProSieben.de@SD - Apr 25, 2026 (43 programs)
ℹ   [152/230] tvgids.nl (it) - Rai1.it@SD - Apr 25, 2026 (42 programs)
ℹ   [153/230] tvgids.nl (fr) - LaUne.be@SD - Apr 24, 2026 (54 programs)
ℹ   [154/230] tvgids.nl (fr) - LaUne.be@SD - Apr 25, 2026 (67 programs)
ℹ   [155/230] tvgids.nl (nl) - Tipik.be@SD - Apr 24, 2026 (24 programs)
ℹ   [156/230] tvgids.nl (nl) - Tipik.be@SD - Apr 25, 2026 (25 programs)
ℹ   [157/230] tvgids.nl (nl) - rtl - Apr 24, 2026 (40 programs)
ℹ   [158/230] tvgids.nl (nl) - RTL4.nl@SD - Apr 24, 2026 (52 programs)
ℹ   [159/230] tvgids.nl (nl) - RTL4.nl@SD - Apr 25, 2026 (55 programs)
ℹ   [160/230] tvgids.nl (nl) - rtl - Apr 25, 2026 (35 programs)
ℹ   [161/230] tvgids.nl (nl) - RTL5.nl@SD - Apr 24, 2026 (23 programs)
ℹ   [162/230] tvgids.nl (nl) - RTL7.nl@SD - Apr 24, 2026 (27 programs)
ℹ   [163/230] tvgids.nl (nl) - RTL8.nl@SD - Apr 24, 2026 (17 programs)
ℹ   [164/230] tvgids.nl (nl) - RTL5.nl@SD - Apr 25, 2026 (20 programs)
ℹ   [165/230] tvgids.nl (nl) - RTL7.nl@SD - Apr 25, 2026 (26 programs)
ℹ   [166/230] tvgids.nl (nl) - RTL8.nl@SD - Apr 25, 2026 (16 programs)
ℹ   [167/230] tvgids.nl (nl) - RTLCrime.nl@SD - Apr 24, 2026 (32 programs)
ℹ   [168/230] tvgids.nl (nl) - RTLCrime.nl@SD - Apr 25, 2026 (32 programs)
ℹ   [169/230] tvgids.nl (nl) - RTLLounge.nl@SD - Apr 24, 2026 (48 programs)
ℹ   [170/230] tvgids.nl (nl) - RTLLounge.nl@SD - Apr 25, 2026 (54 programs)
ℹ   [171/230] tvgids.nl (nl) - RTLZ.nl@SD - Apr 24, 2026 (79 programs)
ℹ   [172/230] tvgids.nl (nl) - RTLTelekids.nl@SD - Apr 24, 2026 (113 programs)
ℹ   [173/230] tvgids.nl (nl) - RTLTelekids.nl@SD - Apr 25, 2026 (101 programs)
ℹ   [174/230] tvgids.nl (nl) - RTLZ.nl@SD - Apr 25, 2026 (52 programs)
ℹ   [175/230] tvgids.nl (nl) - RTVOost.nl@SD - Apr 24, 2026 (44 programs)
ℹ   [176/230] tvgids.nl (nl) - RTVOost.nl@SD - Apr 25, 2026 (58 programs)
ℹ   [177/230] tvgids.nl (nl) - RTVRijnmond.nl@SD - Apr 24, 2026 (19 programs)
ℹ   [178/230] tvgids.nl (nl) - RTVRijnmond.nl@SD - Apr 25, 2026 (37 programs)
ℹ   [179/230] tvgids.nl (nl) - RTVUtrecht.nl@SD - Apr 25, 2026 (132 programs)
