═══════════════════════════════════════════════════════════════
  Site            : sky.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 113s
  Channels        : 1066
  With programmes : 1014
  Empty channels  : 52
  Total programs  : 27995
  Output size     : 15867215 bytes
  Generated       : 2026-04-24 12:01:19
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:59:26 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=sky.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 533 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [166/1066] sky.com (en) - ARYDigital.pk@UK - Apr 25, 2026 (28 programs)
ℹ   [167/1066] sky.com (en) - ARYQtv.pk@SD - Apr 24, 2026 (31 programs)
ℹ   [168/1066] sky.com (en) - ARYQtv.pk@SD - Apr 25, 2026 (29 programs)
ℹ   [169/1066] sky.com (en) - ATNBanglaUK.uk@SD - Apr 24, 2026 (41 programs)
ℹ   [170/1066] sky.com (en) - ATNBanglaUK.uk@SD - Apr 25, 2026 (41 programs)
ℹ   [171/1066] sky.com (en) - B4UMovies.in@UK - Apr 24, 2026 (8 programs)
ℹ   [172/1066] sky.com (en) - B4UMusic.in@UK - Apr 24, 2026 (34 programs)
ℹ   [173/1066] sky.com (en) - B4UMovies.in@UK - Apr 25, 2026 (8 programs)
ℹ   [174/1066] sky.com (en) - B4UMusic.in@UK - Apr 25, 2026 (34 programs)
ℹ   [175/1066] sky.com (en) - Babenation.uk@SD - Apr 24, 2026 (0 programs)
ℹ   [176/1066] sky.com (en) - Babenation.uk@SD - Apr 25, 2026 (0 programs)
ℹ   [177/1066] sky.com (en) - BabesandBrazzers.uk@SD - Apr 24, 2026 (0 programs)
ℹ   [178/1066] sky.com (en) - BabesandBrazzers.uk@SD - Apr 25, 2026 (0 programs)
ℹ   [179/1066] sky.com (en) - BabyTV.uk@UK - Apr 24, 2026 (46 programs)
ℹ   [180/1066] sky.com (en) - BabyTV.uk@UK - Apr 25, 2026 (46 programs)
ℹ   [181/1066] sky.com (en) - BBCFour.uk@IrelandHD - Apr 24, 2026 (12 programs)
ℹ   [182/1066] sky.com (en) - BBCFour.uk@UKHD - Apr 24, 2026 (12 programs)
ℹ   [183/1066] sky.com (en) - BBCFour.uk@IrelandHD - Apr 25, 2026 (11 programs)
ℹ   [184/1066] sky.com (en) - BBCFour.uk@UKHD - Apr 25, 2026 (11 programs)
ℹ   [185/1066] sky.com (en) - BBCNews.uk@UKHD - Apr 24, 2026 (51 programs)
ℹ   [186/1066] sky.com (en) - BBCOne.uk@ChannelIslandsHD - Apr 25, 2026 (23 programs)
ℹ   [187/1066] sky.com (en) - BBCNews.uk@UKHD - Apr 25, 2026 (39 programs)
ℹ   [188/1066] sky.com (en) - BBCOne.uk@ChannelIslandsHD - Apr 24, 2026 (23 programs)
ℹ   [189/1066] sky.com (en) - BBCOne.uk@EastHD - Apr 24, 2026 (23 programs)
ℹ   [190/1066] sky.com (en) - BBCOne.uk@EastMidlandsHD - Apr 25, 2026 (23 programs)
ℹ   [191/1066] sky.com (en) - BBCOne.uk@LondonHD - Apr 24, 2026 (23 programs)
ℹ   [192/1066] sky.com (en) - BBCOne.uk@EastHD - Apr 25, 2026 (23 programs)
ℹ   [193/1066] sky.com (en) - BBCOne.uk@EastMidlandsHD - Apr 24, 2026 (23 programs)
ℹ   [194/1066] sky.com (en) - BBCOne.uk@LondonHD - Apr 25, 2026 (23 programs)
ℹ   [195/1066] sky.com (en) - BBCOne.uk@NorthernIrelandHD - Apr 25, 2026 (22 programs)
