═══════════════════════════════════════════════════════════════
  Site            : streamingtvguides.com
  Status          : TIMEOUT
  Attempts used   : 10 / 10
  Total elapsed   : 1480s
  Channels        : 11079
  With programmes : 0
  Empty channels  : 11079
  Total programs  : 0
  Output size     : 0 bytes
  HTTP errors     :
    34 status code 404
    29 status code 522
  Other errors    :
    21 timeout of 30000ms exceeded
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 12:29:28
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:04:48 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=streamingtvguides.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 3066 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [176/6132] streamingtvguides.com (en) - ALPHATV - Apr 24, 2026 (0 programs)
ℹ   [177/6132] streamingtvguides.com (en) - ALNHRDR - Apr 25, 2026 (0 programs)
ℹ   [178/6132] streamingtvguides.com (en) - ALPHATV - Apr 25, 2026 (0 programs)
ℹ   [179/6132] streamingtvguides.com (en) - ALTSPHD - Apr 24, 2026 (0 programs)
ℹ   [180/6132] streamingtvguides.com (en) - ALTSPRT - Apr 24, 2026 (0 programs)
ℹ   [181/6132] streamingtvguides.com (en) - ALTSPHD - Apr 25, 2026 (0 programs)
ℹ   [182/6132] streamingtvguides.com (en) - ALYAUM - Apr 24, 2026 (0 programs)
ℹ   [183/6132] streamingtvguides.com (en) - ALTSPRT - Apr 25, 2026 (0 programs)
ℹ   [184/6132] streamingtvguides.com (en) - ALYAUM - Apr 25, 2026 (0 programs)
ℹ   [185/6132] streamingtvguides.com (en) - AMCP - Apr 24, 2026 (0 programs)
ℹ   [186/6132] streamingtvguides.com (en) - AMCHD - Apr 24, 2026 (0 programs)
ℹ   [187/6132] streamingtvguides.com (en) - AMCHD - Apr 25, 2026 (0 programs)
ℹ   [188/6132] streamingtvguides.com (en) - AMCP - Apr 25, 2026 (0 programs)
ℹ   [189/6132] streamingtvguides.com (en) - AMCPHD - Apr 24, 2026 (0 programs)
ℹ   [190/6132] streamingtvguides.com (en) - AMCPHD - Apr 25, 2026 (0 programs)
ℹ   [191/6132] streamingtvguides.com (en) - AMCPLUS - Apr 24, 2026 (0 programs)
ℹ   [192/6132] streamingtvguides.com (en) - AMCPLUS - Apr 25, 2026 (0 programs)
ℹ   [193/6132] streamingtvguides.com (en) - ANBUSCH - Apr 24, 2026 (0 programs)
ℹ   [194/6132] streamingtvguides.com (en) - ANBUSCH - Apr 25, 2026 (0 programs)
ℹ   [195/6132] streamingtvguides.com (en) - ANC - Apr 24, 2026 (0 programs)
ℹ   [196/6132] streamingtvguides.com (en) - ANC - Apr 25, 2026 (0 programs)
