═══════════════════════════════════════════════════════════════
  Site            : mi.tv
  Status          : PASS
  Attempts used   : 7 / 10
  Total elapsed   : 1564s
  Channels        : 19642
  With programmes : 15207
  Empty channels  : 4435
  Total programs  : 92059
  Output size     : 44390818 bytes
  Generated       : 2026-04-24 11:38:42
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:12:38 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=mi.tv --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 2084 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [135/4168] mi.tv (es) - ar#espn - Apr 24, 2026 (15 programs)
ℹ   [136/4168] mi.tv (es) - ar#espn - Apr 25, 2026 (18 programs)
ℹ   [137/4168] mi.tv (es) - ar#espn-1 - Apr 24, 2026 (19 programs)
ℹ   [138/4168] mi.tv (es) - ar#espn-1 - Apr 25, 2026 (18 programs)
ℹ   [139/4168] mi.tv (es) - ar#espn-2 - Apr 24, 2026 (18 programs)
ℹ   [140/4168] mi.tv (es) - ar#espn-2 - Apr 25, 2026 (16 programs)
ℹ   [141/4168] mi.tv (es) - ar#espn-3 - Apr 24, 2026 (20 programs)
ℹ   [142/4168] mi.tv (es) - ar#espn-3 - Apr 25, 2026 (12 programs)
ℹ   [143/4168] mi.tv (es) - EuropaEuropa.ar@SD - Apr 24, 2026 (15 programs)
ℹ   [144/4168] mi.tv (es) - EuropaEuropa.ar@SD - Apr 25, 2026 (14 programs)
ℹ   [145/4168] mi.tv (es) - ar#ewtn - Apr 24, 2026 (41 programs)
ℹ   [146/4168] mi.tv (es) - ar#ewtn - Apr 25, 2026 (35 programs)
ℹ   [147/4168] mi.tv (es) - FilmArts.ar@Panregional - Apr 24, 2026 (23 programs)
ℹ   [148/4168] mi.tv (es) - FilmArts.ar@Panregional - Apr 25, 2026 (20 programs)
ℹ   [149/4168] mi.tv (es) - FoodNetworkLatinAmerica.us@Panregional - Apr 24, 2026 (41 programs)
ℹ   [150/4168] mi.tv (es) - FoodNetworkLatinAmerica.us@Panregional - Apr 25, 2026 (41 programs)
ℹ   [151/4168] mi.tv (es) - StarChannelLatinAmerica.us@South - Apr 24, 2026 (15 programs)
ℹ   [152/4168] mi.tv (es) - StarChannelLatinAmerica.us@South - Apr 25, 2026 (20 programs)
ℹ   [153/4168] mi.tv (es) - ar#fox-1-este - Apr 24, 2026 (0 programs)
ℹ   [154/4168] mi.tv (es) - ar#fox-1-este - Apr 25, 2026 (0 programs)
ℹ   [155/4168] mi.tv (es) - ar#fox-1-hd - Apr 24, 2026 (0 programs)
ℹ   [156/4168] mi.tv (es) - ar#fox-1-hd - Apr 25, 2026 (0 programs)
ℹ   [157/4168] mi.tv (es) - ar#fox-1-oeste - Apr 24, 2026 (0 programs)
ℹ   [158/4168] mi.tv (es) - ar#fox-1-oeste - Apr 25, 2026 (0 programs)
ℹ   [159/4168] mi.tv (es) - ar#fox-action - Apr 24, 2026 (0 programs)
ℹ   [160/4168] mi.tv (es) - ar#fox-action-hd - Apr 24, 2026 (0 programs)
ℹ   [161/4168] mi.tv (es) - ar#fox-action - Apr 25, 2026 (0 programs)
ℹ   [162/4168] mi.tv (es) - ar#fox-action-hd - Apr 25, 2026 (0 programs)
ℹ   [163/4168] mi.tv (es) - ar#fox-action-oeste - Apr 24, 2026 (0 programs)
ℹ   [164/4168] mi.tv (es) - ar#fox-action-oeste - Apr 25, 2026 (0 programs)
ℹ   [165/4168] mi.tv (es) - ar#fox-cinema - Apr 24, 2026 (0 programs)
ℹ   [166/4168] mi.tv (es) - ar#fox-cinema - Apr 25, 2026 (0 programs)
ℹ   [167/4168] mi.tv (es) - ar#fox-classics - Apr 24, 2026 (0 programs)
ℹ   [168/4168] mi.tv (es) - ar#fox-classics - Apr 25, 2026 (0 programs)
ℹ   [169/4168] mi.tv (es) - ar#fox-comedy-hd - Apr 24, 2026 (0 programs)
ℹ   [170/4168] mi.tv (es) - ar#fox-comedy-hd - Apr 25, 2026 (0 programs)
ℹ   [171/4168] mi.tv (es) - ar#fox-family - Apr 24, 2026 (0 programs)
ℹ   [172/4168] mi.tv (es) - ar#fox-family - Apr 25, 2026 (0 programs)
ℹ   [173/4168] mi.tv (es) - ar#fox-family-hd - Apr 24, 2026 (0 programs)
ℹ   [174/4168] mi.tv (es) - ar#fox-family-hd - Apr 25, 2026 (0 programs)
ℹ   [175/4168] mi.tv (es) - ar#fox-family-oeste - Apr 25, 2026 (0 programs)
ℹ   [176/4168] mi.tv (es) - ar#fox-hd - Apr 24, 2026 (15 programs)
ℹ   [177/4168] mi.tv (es) - ar#fox-family-oeste - Apr 24, 2026 (0 programs)
ℹ   [178/4168] mi.tv (es) - ar#fox-hd - Apr 25, 2026 (20 programs)
ℹ   [179/4168] mi.tv (es) - ar#fox-life - Apr 24, 2026 (0 programs)
ℹ   [180/4168] mi.tv (es) - ar#fox-life - Apr 25, 2026 (0 programs)
ℹ   [181/4168] mi.tv (es) - ar#fox-movies - Apr 24, 2026 (0 programs)
ℹ   [182/4168] mi.tv (es) - ar#fox-movies - Apr 25, 2026 (0 programs)
ℹ   [183/4168] mi.tv (es) - ar#fox-movies-hd - Apr 24, 2026 (0 programs)
ℹ   [184/4168] mi.tv (es) - ar#fox-movies-hd - Apr 25, 2026 (0 programs)
ℹ   [185/4168] mi.tv (es) - FoxSports2.ar@SD - Apr 24, 2026 (18 programs)
ℹ   [186/4168] mi.tv (es) - FoxSports3LatinAmerica.us@Panregional - Apr 24, 2026 (18 programs)
ℹ   [187/4168] mi.tv (es) - FoxSports2.ar@SD - Apr 25, 2026 (20 programs)
ℹ   [188/4168] mi.tv (es) - FoxSports3LatinAmerica.us@Panregional - Apr 25, 2026 (13 programs)
ℹ   [189/4168] mi.tv (es) - ar#fox-sports-cono-sur-capital - Apr 24, 2026 (16 programs)
ℹ   [190/4168] mi.tv (es) - ar#fox-sports-cono-sur-capital - Apr 25, 2026 (17 programs)
ℹ   [191/4168] mi.tv (es) - FoxSports.ar@SD - Apr 24, 2026 (16 programs)
ℹ   [192/4168] mi.tv (es) - FoxSports.ar@SD - Apr 25, 2026 (17 programs)
ℹ   [193/4168] mi.tv (es) - ESPNPremium.ar@SD - Apr 24, 2026 (14 programs)
ℹ   [194/4168] mi.tv (es) - ESPNPremium.ar@SD - Apr 25, 2026 (16 programs)
ℹ   [195/4168] mi.tv (es) - France24.fr@Spanish - Apr 24, 2026 (146 programs)
ℹ   [196/4168] mi.tv (es) - FXLatinAmerica.us@South - Apr 25, 2026 (21 programs)
ℹ   [197/4168] mi.tv (es) - FXLatinAmerica.us@South - Apr 24, 2026 (21 programs)
ℹ   [198/4168] mi.tv (es) - France24.fr@Spanish - Apr 25, 2026 (157 programs)
ℹ   [199/4168] mi.tv (es) - FXM.us@East - Apr 24, 2026 (0 programs)
ℹ   [200/4168] mi.tv (es) - FXM.us@East - Apr 25, 2026 (0 programs)
ℹ   [201/4168] mi.tv (es) - GaliciaTVAmerica.es@SD - Apr 24, 2026 (22 programs)
ℹ   [202/4168] mi.tv (es) - GaliciaTVAmerica.es@SD - Apr 25, 2026 (27 programs)
ℹ   [203/4168] mi.tv (es) - Glitz.ar@Panregional - Apr 24, 2026 (0 programs)
ℹ   [204/4168] mi.tv (es) - Glitz.ar@Panregional - Apr 25, 2026 (0 programs)
ℹ   [205/4168] mi.tv (es) - GolTVUSA.us@SD - Apr 24, 2026 (0 programs)
ℹ   [206/4168] mi.tv (es) - GolTVUSA.us@SD - Apr 25, 2026 (0 programs)
