═══════════════════════════════════════════════════════════════
  Site            : dishtv.in
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 141s
  Channels        : 1206
  With programmes : 1181
  Empty channels  : 25
  Total programs  : 40206
  Output size     : 65483156 bytes
  Other errors    :
    1 Cannot read properties of null (reading 'token')
  Last error      : Cannot read properties of null (reading 'token')
  Generated       : 2026-04-24 10:50:49
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:48:28 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=dishtv.in --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 603 channel(s)
ℹ loading api data...
ℹ   [173/1206] dishtv.in (en) - DDPunjabi.in@SD - Apr 24, 2026 (46 programs)
ℹ   [174/1206] dishtv.in (en) - DDPunjabi.in@SD - Apr 25, 2026 (50 programs)
ℹ   [175/1206] dishtv.in (en) - DDRajasthan.in@SD - Apr 24, 2026 (53 programs)
ℹ   [176/1206] dishtv.in (en) - DDRajasthan.in@SD - Apr 25, 2026 (45 programs)
ℹ   [177/1206] dishtv.in (en) - DDSahyadri.in@SD - Apr 24, 2026 (40 programs)
ℹ   [178/1206] dishtv.in (en) - DDSahyadri.in@SD - Apr 25, 2026 (38 programs)
ℹ   [179/1206] dishtv.in (en) - DDSaptagiri.in@SD - Apr 24, 2026 (42 programs)
ℹ   [180/1206] dishtv.in (en) - DDSaptagiri.in@SD - Apr 25, 2026 (42 programs)
ℹ   [181/1206] dishtv.in (en) - DDUttarPradesh.in@SD - Apr 24, 2026 (38 programs)
ℹ   [182/1206] dishtv.in (en) - DDUttarPradesh.in@SD - Apr 25, 2026 (41 programs)
ℹ   [183/1206] dishtv.in (en) - DDUrdu.in@SD - Apr 24, 2026 (41 programs)
ℹ   [184/1206] dishtv.in (en) - DDUrdu.in@SD - Apr 25, 2026 (41 programs)
ℹ   [185/1206] dishtv.in (en) - DDYadagiri.in@SD - Apr 24, 2026 (32 programs)
ℹ   [186/1206] dishtv.in (en) - DDYadagiri.in@SD - Apr 25, 2026 (33 programs)
ℹ   [187/1206] dishtv.in (en) - GoldminesMovies.in@SD - Apr 24, 2026 (8 programs)
ℹ   [188/1206] dishtv.in (en) - GoldminesMovies.in@SD - Apr 25, 2026 (8 programs)
ℹ   [189/1206] dishtv.in (en) - DhoomMusic.in@SD - Apr 24, 2026 (41 programs)
ℹ   [190/1206] dishtv.in (en) - DhoomMusic.in@SD - Apr 25, 2026 (41 programs)
ℹ   [191/1206] dishtv.in (en) - RepublicKannada.in@SD - Apr 24, 2026 (48 programs)
ℹ   [192/1206] dishtv.in (en) - RepublicKannada.in@SD - Apr 25, 2026 (48 programs)
ℹ   [193/1206] dishtv.in (en) - 142892 - Apr 24, 2026 (48 programs)
ℹ   [194/1206] dishtv.in (en) - 142892 - Apr 25, 2026 (48 programs)
ℹ   [195/1206] dishtv.in (en) - 142893 - Apr 24, 2026 (41 programs)
ℹ   [196/1206] dishtv.in (en) - 142893 - Apr 25, 2026 (33 programs)
ℹ   [197/1206] dishtv.in (en) - DishBuzz.in@SD - Apr 24, 2026 (100 programs)
ℹ   [198/1206] dishtv.in (en) - DishBuzz.in@SD - Apr 25, 2026 (100 programs)
ℹ   [199/1206] dishtv.in (en) - 142896 - Apr 24, 2026 (100 programs)
ℹ   [200/1206] dishtv.in (en) - 142896 - Apr 25, 2026 (100 programs)
ℹ   [201/1206] dishtv.in (en) - 142897 - Apr 24, 2026 (16 programs)
ℹ   [202/1206] dishtv.in (en) - 142897 - Apr 25, 2026 (16 programs)
ℹ   [203/1206] dishtv.in (en) - 142898 - Apr 24, 2026 (37 programs)
ℹ   [204/1206] dishtv.in (en) - 142898 - Apr 25, 2026 (21 programs)
ℹ   [205/1206] dishtv.in (en) - 142900 - Apr 24, 2026 (12 programs)
ℹ   [206/1206] dishtv.in (en) - 142900 - Apr 25, 2026 (12 programs)
ℹ   [207/1206] dishtv.in (en) - 142902 - Apr 24, 2026 (82 programs)
ℹ   [208/1206] dishtv.in (en) - 142902 - Apr 25, 2026 (78 programs)
ℹ   [209/1206] dishtv.in (en) - 142906 - Apr 24, 2026 (24 programs)
ℹ   [210/1206] dishtv.in (en) - 142906 - Apr 25, 2026 (24 programs)
ℹ   [211/1206] dishtv.in (en) - 142911 - Apr 24, 2026 (48 programs)
ℹ   [212/1206] dishtv.in (en) - 142911 - Apr 25, 2026 (48 programs)
