═══════════════════════════════════════════════════════════════
  Site            : tv-spored.siol.net
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 153s
  Channels        : 624
  With programmes : 555
  Empty channels  : 69
  Total programs  : 16180
  Output size     : 3632568 bytes
  HTTP errors     :
    3 status code 500
  Last error      : Request failed with status code 500
  Generated       : 2026-04-24 12:59:21
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:56:48 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tv-spored.siol.net --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 312 channel(s)
ℹ loading api data...
ℹ   [135/624] tv-spored.siol.net (sl) - doxtv - Apr 24, 2026 (27 programs)
ℹ   [136/624] tv-spored.siol.net (sl) - doxtv - Apr 25, 2026 (27 programs)
ℹ   [137/624] tv-spored.siol.net (sl) - dugans - Apr 24, 2026 (10 programs)
ℹ   [138/624] tv-spored.siol.net (sl) - drfit - Apr 24, 2026 (0 programs)
ℹ   [139/624] tv-spored.siol.net (sl) - drfit - Apr 25, 2026 (0 programs)
ℹ   [140/624] tv-spored.siol.net (sl) - dugans - Apr 25, 2026 (13 programs)
ℹ   [141/624] tv-spored.siol.net (sl) - duna - Apr 24, 2026 (59 programs)
ℹ   [142/624] tv-spored.siol.net (sl) - dusktv - Apr 25, 2026 (54 programs)
ℹ   [143/624] tv-spored.siol.net (sl) - duna - Apr 25, 2026 (43 programs)
ℹ   [144/624] tv-spored.siol.net (sl) - dusktv - Apr 24, 2026 (14 programs)
ℹ   [145/624] tv-spored.siol.net (sl) - eeurope - Apr 24, 2026 (25 programs)
ℹ   [146/624] tv-spored.siol.net (sl) - eltahd - Apr 24, 2026 (0 programs)
ℹ   [147/624] tv-spored.siol.net (sl) - eltahd - Apr 25, 2026 (0 programs)
ℹ   [148/624] tv-spored.siol.net (sl) - eeurope - Apr 25, 2026 (25 programs)
ℹ   [149/624] tv-spored.siol.net (sl) - eltatv - Apr 24, 2026 (23 programs)
ℹ   [150/624] tv-spored.siol.net (sl) - eltatv - Apr 25, 2026 (23 programs)
ℹ   [151/624] tv-spored.siol.net (sl) - enaplusena - Apr 24, 2026 (16 programs)
ℹ   [152/624] tv-spored.siol.net (sl) - enaplusena - Apr 25, 2026 (15 programs)
ℹ   [153/624] tv-spored.siol.net (sl) - epicdrama - Apr 25, 2026 (16 programs)
ℹ   [154/624] tv-spored.siol.net (sl) - erox - Apr 24, 2026 (37 programs)
ℹ   [155/624] tv-spored.siol.net (sl) - epicdrama - Apr 24, 2026 (18 programs)
ℹ   [156/624] tv-spored.siol.net (sl) - erox - Apr 25, 2026 (37 programs)
ℹ   [157/624] tv-spored.siol.net (sl) - eroxxx - Apr 25, 2026 (21 programs)
ℹ   [158/624] tv-spored.siol.net (sl) - eroxxx - Apr 24, 2026 (22 programs)
ℹ   [159/624] tv-spored.siol.net (sl) - etv - Apr 24, 2026 (0 programs)
ℹ   [160/624] tv-spored.siol.net (sl) - etv - Apr 25, 2026 (0 programs)
ℹ   [161/624] tv-spored.siol.net (sl) - eurosport - Apr 24, 2026 (13 programs)
ℹ   [162/624] tv-spored.siol.net (sl) - eurosport - Apr 25, 2026 (12 programs)
