═══════════════════════════════════════════════════════════════
  Site            : tataplay.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 320s
  Channels        : 2194
  With programmes : 2125
  Empty channels  : 69
  Total programs  : 69917
  Output size     : 23233016 bytes
  Generated       : 2026-04-24 12:19:20
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:14:00 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tataplay.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 1097 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [182/2194] tataplay.com (en) - 658 - Apr 24, 2026 (30 programs)
ℹ   [183/2194] tataplay.com (en) - 663 - Apr 24, 2026 (18 programs)
ℹ   [184/2194] tataplay.com (en) - 643 - Apr 24, 2026 (0 programs)
ℹ   [185/2194] tataplay.com (en) - 663 - Apr 25, 2026 (18 programs)
ℹ   [186/2194] tataplay.com (en) - 658 - Apr 25, 2026 (32 programs)
ℹ   [187/2194] tataplay.com (en) - 664 - Apr 25, 2026 (50 programs)
ℹ   [188/2194] tataplay.com (en) - 664 - Apr 24, 2026 (57 programs)
ℹ   [189/2194] tataplay.com (en) - 677 - Apr 24, 2026 (25 programs)
ℹ   [190/2194] tataplay.com (en) - 666 - Apr 24, 2026 (15 programs)
ℹ   [191/2194] tataplay.com (en) - 677 - Apr 25, 2026 (26 programs)
ℹ   [192/2194] tataplay.com (en) - 666 - Apr 25, 2026 (13 programs)
ℹ   [193/2194] tataplay.com (en) - 735 - Apr 24, 2026 (34 programs)
ℹ   [194/2194] tataplay.com (en) - 735 - Apr 25, 2026 (34 programs)
ℹ   [195/2194] tataplay.com (en) - 737 - Apr 25, 2026 (24 programs)
ℹ   [196/2194] tataplay.com (en) - 737 - Apr 24, 2026 (24 programs)
ℹ   [197/2194] tataplay.com (en) - 741 - Apr 24, 2026 (20 programs)
ℹ   [198/2194] tataplay.com (en) - 741 - Apr 25, 2026 (22 programs)
ℹ   [199/2194] tataplay.com (en) - 744 - Apr 24, 2026 (39 programs)
ℹ   [200/2194] tataplay.com (en) - 744 - Apr 25, 2026 (30 programs)
ℹ   [201/2194] tataplay.com (en) - 773 - Apr 24, 2026 (28 programs)
ℹ   [202/2194] tataplay.com (en) - 773 - Apr 25, 2026 (28 programs)
ℹ   [203/2194] tataplay.com (en) - 772 - Apr 25, 2026 (17 programs)
ℹ   [204/2194] tataplay.com (en) - 781 - Apr 24, 2026 (48 programs)
ℹ   [205/2194] tataplay.com (en) - 772 - Apr 24, 2026 (17 programs)
ℹ   [206/2194] tataplay.com (en) - 781 - Apr 25, 2026 (48 programs)
ℹ   [207/2194] tataplay.com (en) - 782 - Apr 24, 2026 (36 programs)
ℹ   [208/2194] tataplay.com (en) - 782 - Apr 25, 2026 (36 programs)
ℹ   [209/2194] tataplay.com (en) - 783 - Apr 24, 2026 (48 programs)
ℹ   [210/2194] tataplay.com (en) - 783 - Apr 25, 2026 (48 programs)
ℹ   [211/2194] tataplay.com (en) - 785 - Apr 25, 2026 (18 programs)
ℹ   [212/2194] tataplay.com (en) - 785 - Apr 24, 2026 (18 programs)
ℹ   [213/2194] tataplay.com (en) - 789 - Apr 25, 2026 (22 programs)
ℹ   [214/2194] tataplay.com (en) - 789 - Apr 24, 2026 (22 programs)
ℹ   [215/2194] tataplay.com (en) - 797 - Apr 24, 2026 (11 programs)
ℹ   [216/2194] tataplay.com (en) - 797 - Apr 25, 2026 (11 programs)
ℹ   [217/2194] tataplay.com (en) - 807 - Apr 24, 2026 (48 programs)
ℹ   [218/2194] tataplay.com (en) - 811 - Apr 25, 2026 (17 programs)
ℹ   [219/2194] tataplay.com (en) - 807 - Apr 25, 2026 (48 programs)
ℹ   [220/2194] tataplay.com (en) - 811 - Apr 24, 2026 (20 programs)
ℹ   [221/2194] tataplay.com (en) - 812 - Apr 24, 2026 (18 programs)
ℹ   [222/2194] tataplay.com (en) - 812 - Apr 25, 2026 (19 programs)
ℹ   [223/2194] tataplay.com (en) - 814 - Apr 25, 2026 (8 programs)
ℹ   [224/2194] tataplay.com (en) - 814 - Apr 24, 2026 (11 programs)
ℹ   [225/2194] tataplay.com (en) - 818 - Apr 24, 2026 (25 programs)
ℹ   [226/2194] tataplay.com (en) - 819 - Apr 24, 2026 (45 programs)
ℹ   [227/2194] tataplay.com (en) - 821 - Apr 24, 2026 (21 programs)
ℹ   [228/2194] tataplay.com (en) - 819 - Apr 25, 2026 (39 programs)
ℹ   [229/2194] tataplay.com (en) - 818 - Apr 25, 2026 (28 programs)
ℹ   [230/2194] tataplay.com (en) - 833 - Apr 24, 2026 (10 programs)
ℹ   [231/2194] tataplay.com (en) - 840 - Apr 24, 2026 (12 programs)
