═══════════════════════════════════════════════════════════════
  Site            : tvtv.us
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 374s
  Channels        : 4598
  With programmes : 398
  Empty channels  : 4200
  Total programs  : 12033
  Output size     : 2294927 bytes
  HTTP errors     :
    4190 status code 429
    8 status code 403
  Last error      : Request failed with status code 429
  Generated       : 2026-04-24 13:03:58
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:57:44 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tvtv.us --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 2299 channel(s)
ℹ   [196/4598] tvtv.us (en) - WorldHarvestTV.us@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [197/4598] tvtv.us (en) - Blaze.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [198/4598] tvtv.us (en) - Blaze.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [199/4598] tvtv.us (en) - BigTenNetworkAlternate.us@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [200/4598] tvtv.us (en) - CHKMDT.ca@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [201/4598] tvtv.us (en) - BigTenNetworkAlternate.us@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [202/4598] tvtv.us (en) - CHKMDT.ca@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [203/4598] tvtv.us (en) - WTNZ431.us@HD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [204/4598] tvtv.us (en) - WVLTTV81.us@HD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [205/4598] tvtv.us (en) - WVLTTV81.us@HD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [206/4598] tvtv.us (en) - WTNZ431.us@HD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [207/4598] tvtv.us (en) - WNJB581.us@HD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [208/4598] tvtv.us (en) - WNJB581.us@HD - Apr 25, 2026 (0 programs)
