═══════════════════════════════════════════════════════════════
  Site            : freeview.co.uk
  Status          : PASS
  Attempts used   : 4 / 10
  Total elapsed   : 4486s
  Channels        : 2343
  With programmes : 2339
  Empty channels  : 4
  Total programs  : 17611
  Output size     : 6500581 bytes
  Generated       : 2026-04-24 12:12:18
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:57:32 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=freeview.co.uk --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 352 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [185/704] freeview.co.uk (en) - 64336#6341 - Apr 25, 2026 (11 programs)
ℹ   [186/704] freeview.co.uk (en) - 64336#6405 - Apr 25, 2026 (7 programs)
ℹ   [187/704] freeview.co.uk (en) - 64342#6150 - Apr 25, 2026 (9 programs)
ℹ   [188/704] freeview.co.uk (en) - 64342#6159 - Apr 24, 2026 (7 programs)
ℹ   [189/704] freeview.co.uk (en) - 64342#6150 - Apr 24, 2026 (9 programs)
ℹ   [190/704] freeview.co.uk (en) - 64342#6278 - Apr 24, 2026 (9 programs)
ℹ   [191/704] freeview.co.uk (en) - 64342#6159 - Apr 25, 2026 (11 programs)
ℹ   [192/704] freeview.co.uk (en) - 64342#6278 - Apr 25, 2026 (9 programs)
ℹ   [193/704] freeview.co.uk (en) - 64352#6218 - Apr 24, 2026 (7 programs)
ℹ   [194/704] freeview.co.uk (en) - 64337#32846 - Apr 24, 2026 (32 programs)
ℹ   [195/704] freeview.co.uk (en) - 64337#32846 - Apr 25, 2026 (32 programs)
ℹ   [196/704] freeview.co.uk (en) - 64352#6223 - Apr 24, 2026 (8 programs)
ℹ   [197/704] freeview.co.uk (en) - 64352#6218 - Apr 25, 2026 (11 programs)
ℹ   [198/704] freeview.co.uk (en) - 64352#6223 - Apr 25, 2026 (11 programs)
ℹ   [199/704] freeview.co.uk (en) - 64357#6154 - Apr 24, 2026 (7 programs)
ℹ   [200/704] freeview.co.uk (en) - 64353#32833 - Apr 24, 2026 (30 programs)
ℹ   [201/704] freeview.co.uk (en) - 64357#6154 - Apr 25, 2026 (9 programs)
ℹ   [202/704] freeview.co.uk (en) - 64354#32879 - Apr 24, 2026 (30 programs)
ℹ   [203/704] freeview.co.uk (en) - 64357#6282 - Apr 24, 2026 (7 programs)
ℹ   [204/704] freeview.co.uk (en) - 64353#32833 - Apr 25, 2026 (36 programs)
ℹ   [205/704] freeview.co.uk (en) - 64354#32879 - Apr 25, 2026 (36 programs)
ℹ   [206/704] freeview.co.uk (en) - 64357#6282 - Apr 25, 2026 (11 programs)
ℹ   [207/704] freeview.co.uk (en) - 64357#32848 - Apr 24, 2026 (27 programs)
ℹ   [208/704] freeview.co.uk (en) - 64357#32848 - Apr 25, 2026 (33 programs)
ℹ   [209/704] freeview.co.uk (en) - 64364#32875 - Apr 24, 2026 (30 programs)
