═══════════════════════════════════════════════════════════════
  Site            : epgshare01.online
  Status          : TIMEOUT
  Attempts used   : 10 / 10
  Total elapsed   : 632s
  Channels        : 3920
  With programmes : 2097
  Empty channels  : 1823
  Total programs  : 0
  Output size     : 0 bytes
  Generated       : 2026-04-24 11:04:30
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:53:58 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=epgshare01.online --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 20706 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [118/41412] epgshare01.online (es) - AR1#Canal.NTN24.(Nuestra.Tele.Noticias.24.Horas).ar - Apr 25, 2026 (0 programs)
ℹ   [119/41412] epgshare01.online (es) - AR1#Canal.Pakapaka.ar - Apr 24, 2026 (0 programs)
ℹ   [120/41412] epgshare01.online (es) - AR1#Canal.Pakapaka.ar - Apr 25, 2026 (0 programs)
ℹ   [121/41412] epgshare01.online (es) - AR1#Canal.Paravisión.ar - Apr 24, 2026 (0 programs)
ℹ   [122/41412] epgshare01.online (es) - AR1#Canal.Paravisión.ar - Apr 25, 2026 (0 programs)
ℹ   [123/41412] epgshare01.online (es) - AR1#Canal.RAI.International.ar - Apr 24, 2026 (0 programs)
ℹ   [124/41412] epgshare01.online (es) - AR1#Canal.RAI.International.ar - Apr 25, 2026 (0 programs)
ℹ   [125/41412] epgshare01.online (es) - AR1#Canal.Señal.Colombia.ar - Apr 24, 2026 (0 programs)
ℹ   [126/41412] epgshare01.online (es) - AR1#Canal.Señal.Colombia.ar - Apr 25, 2026 (0 programs)
ℹ   [127/41412] epgshare01.online (es) - AR1#Canal.SNT.(Paraguay).ar - Apr 24, 2026 (0 programs)
ℹ   [128/41412] epgshare01.online (es) - AR1#Canal.SNT.(Paraguay).ar - Apr 25, 2026 (0 programs)
ℹ   [129/41412] epgshare01.online (es) - AR1#Canal.Sony.(Argentina).ar - Apr 24, 2026 (0 programs)
ℹ   [130/41412] epgshare01.online (es) - AR1#Canal.Sony.(Argentina).ar - Apr 25, 2026 (0 programs)
ℹ   [131/41412] epgshare01.online (es) - AR1#Canal.Space.(Argentina).ar - Apr 24, 2026 (0 programs)
