═══════════════════════════════════════════════════════════════
  Site            : ontvtonight.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 576s
  Channels        : 10354
  With programmes : 232
  Empty channels  : 10122
  Total programs  : 6118
  Output size     : 1745962 bytes
  HTTP errors     :
    10120 status code 405
  Last error      : Request failed with status code 405
  Generated       : 2026-04-24 11:41:11
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:31:35 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=ontvtonight.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 5177 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [143/10354] ontvtonight.com (en) - au#1710/7mate - Apr 24, 2026 (23 programs)
ℹ   [144/10354] ontvtonight.com (en) - au#1710/7mate - Apr 25, 2026 (33 programs)
ℹ   [145/10354] ontvtonight.com (en) - au#1711/7mate - Apr 24, 2026 (23 programs)
ℹ   [146/10354] ontvtonight.com (en) - au#1711/7mate - Apr 25, 2026 (33 programs)
ℹ   [147/10354] ontvtonight.com (en) - au#1712/7mate - Apr 24, 2026 (26 programs)
ℹ   [148/10354] ontvtonight.com (en) - au#1712/7mate - Apr 25, 2026 (31 programs)
ℹ   [149/10354] ontvtonight.com (en) - au#1713/7mate - Apr 24, 2026 (26 programs)
ℹ   [150/10354] ontvtonight.com (en) - au#1713/7mate - Apr 25, 2026 (31 programs)
ℹ   [151/10354] ontvtonight.com (en) - au#1714/7mate - Apr 24, 2026 (26 programs)
ℹ   [152/10354] ontvtonight.com (en) - au#1714/7mate - Apr 25, 2026 (31 programs)
ℹ   [153/10354] ontvtonight.com (en) - au#1715/7mate - Apr 24, 2026 (26 programs)
ℹ   [154/10354] ontvtonight.com (en) - au#1715/7mate - Apr 25, 2026 (31 programs)
ℹ   [155/10354] ontvtonight.com (en) - au#1716/7mate - Apr 24, 2026 (26 programs)
ℹ   [156/10354] ontvtonight.com (en) - au#1716/7mate - Apr 25, 2026 (31 programs)
ℹ   [157/10354] ontvtonight.com (en) - au#1717/7mate - Apr 24, 2026 (26 programs)
ℹ   [158/10354] ontvtonight.com (en) - au#1717/7mate - Apr 25, 2026 (31 programs)
ℹ   [159/10354] ontvtonight.com (en) - au#1718/7mate - Apr 24, 2026 (26 programs)
ℹ   [160/10354] ontvtonight.com (en) - au#1718/7mate - Apr 25, 2026 (31 programs)
ℹ   [161/10354] ontvtonight.com (en) - au#1719/7mate - Apr 24, 2026 (26 programs)
ℹ   [162/10354] ontvtonight.com (en) - au#1719/7mate - Apr 25, 2026 (31 programs)
ℹ   [163/10354] ontvtonight.com (en) - au#1720/7mate - Apr 24, 2026 (26 programs)
ℹ   [164/10354] ontvtonight.com (en) - au#1720/7mate - Apr 25, 2026 (31 programs)
ℹ   [165/10354] ontvtonight.com (en) - au#1721/7mate - Apr 24, 2026 (26 programs)
ℹ   [166/10354] ontvtonight.com (en) - au#1721/7mate - Apr 25, 2026 (30 programs)
ℹ   [167/10354] ontvtonight.com (en) - au#1722/7mate - Apr 24, 2026 (25 programs)
ℹ   [168/10354] ontvtonight.com (en) - au#1722/7mate - Apr 25, 2026 (25 programs)
ℹ   [169/10354] ontvtonight.com (en) - au#1723/7mate - Apr 24, 2026 (25 programs)
ℹ   [170/10354] ontvtonight.com (en) - au#1723/7mate - Apr 25, 2026 (25 programs)
ℹ   [171/10354] ontvtonight.com (en) - au#1724/7mate - Apr 24, 2026 (25 programs)
ℹ   [172/10354] ontvtonight.com (en) - au#1724/7mate - Apr 25, 2026 (25 programs)
ℹ   [173/10354] ontvtonight.com (en) - au#1725/7mate - Apr 24, 2026 (25 programs)
ℹ   [174/10354] ontvtonight.com (en) - au#1725/7mate - Apr 25, 2026 (25 programs)
ℹ   [175/10354] ontvtonight.com (en) - au#1726/7mate - Apr 24, 2026 (25 programs)
ℹ   [176/10354] ontvtonight.com (en) - au#1726/7mate - Apr 25, 2026 (25 programs)
ℹ   [177/10354] ontvtonight.com (en) - au#1727/7mate - Apr 24, 2026 (25 programs)
ℹ   [178/10354] ontvtonight.com (en) - au#1727/7mate - Apr 25, 2026 (25 programs)
ℹ   [179/10354] ontvtonight.com (en) - au#1728/7mate - Apr 24, 2026 (25 programs)
