═══════════════════════════════════════════════════════════════
  Site            : osn.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 38s
  Channels        : 268
  With programmes : 267
  Empty channels  : 1
  Total programs  : 10059
  Output size     : 1720249 bytes
  Other errors    :
    1 Unexpected end of JSON input
  Last error      : Unexpected end of JSON input
  Generated       : 2026-04-24 11:35:42
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:35:04 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=osn.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 134 channel(s)
ℹ loading api data...
ℹ   [191/268] osn.com (en) - AlYawm.ae@SD - Apr 24, 2026 (31 programs)
ℹ   [192/268] osn.com (en) - AlYawm.ae@SD - Apr 25, 2026 (24 programs)
ℹ   [193/268] osn.com (en) - ANC.ph@SD - Apr 24, 2026 (41 programs)
ℹ   [194/268] osn.com (en) - ANC.ph@SD - Apr 25, 2026 (42 programs)
ℹ   [195/268] osn.com (en) - BloombergTV.us@Europe - Apr 24, 2026 (19 programs)
ℹ   [196/268] osn.com (en) - BloombergTV.us@Europe - Apr 25, 2026 (32 programs)
ℹ   [197/268] osn.com (en) - CartoonNetworkArabic.ae@SD - Apr 24, 2026 (126 programs)
ℹ   [198/268] osn.com (en) - CartoonNetworkArabic.ae@SD - Apr 25, 2026 (123 programs)
ℹ   [199/268] osn.com (en) - Cinema1.ae@SD - Apr 24, 2026 (13 programs)
ℹ   [200/268] osn.com (en) - Cinema1.ae@SD - Apr 25, 2026 (13 programs)
ℹ   [201/268] osn.com (en) - Cinema2.ae@SD - Apr 24, 2026 (13 programs)
ℹ   [202/268] osn.com (en) - Cinema2.ae@SD - Apr 25, 2026 (14 programs)
ℹ   [203/268] osn.com (en) - CinemaOneGlobal.ph@SD - Apr 24, 2026 (13 programs)
ℹ   [204/268] osn.com (en) - CinemaOneGlobal.ph@SD - Apr 25, 2026 (13 programs)
ℹ   [205/268] osn.com (en) - CineMo.ph@SD - Apr 24, 2026 (13 programs)
ℹ   [206/268] osn.com (en) - CineMo.ph@SD - Apr 25, 2026 (13 programs)
ℹ   [207/268] osn.com (en) - CNNArabic.ae@SD - Apr 24, 2026 (26 programs)
ℹ   [208/268] osn.com (en) - CNNArabic.ae@SD - Apr 25, 2026 (21 programs)
ℹ   [209/268] osn.com (en) - CrimePlusInvestigation.uk@SD - Apr 24, 2026 (33 programs)
ℹ   [210/268] osn.com (en) - CrimePlusInvestigation.uk@SD - Apr 25, 2026 (33 programs)
ℹ   [211/268] osn.com (en) - DiscoveryChannelMiddleEastAfrica.us@SD - Apr 24, 2026 (31 programs)
ℹ   [212/268] osn.com (en) - DiscoveryChannelMiddleEastAfrica.us@SD - Apr 25, 2026 (31 programs)
ℹ   [213/268] osn.com (en) - Fann.ae@SD - Apr 24, 2026 (153 programs)
ℹ   [214/268] osn.com (en) - Fann.ae@SD - Apr 25, 2026 (165 programs)
ℹ   [215/268] osn.com (en) - Fatafeat.ae@SD - Apr 24, 2026 (28 programs)
ℹ   [216/268] osn.com (en) - Fatafeat.ae@SD - Apr 25, 2026 (32 programs)
ℹ   [217/268] osn.com (en) - GMALifeTV.ph@SD - Apr 24, 2026 (28 programs)
ℹ   [218/268] osn.com (en) - GMALifeTV.ph@SD - Apr 25, 2026 (25 programs)
ℹ   [219/268] osn.com (en) - GMANewsTV.ph@SD - Apr 24, 2026 (28 programs)
ℹ   [220/268] osn.com (en) - GMANewsTV.ph@SD - Apr 25, 2026 (29 programs)
ℹ   [221/268] osn.com (en) - GMAPinoyTVMiddleEast.ph@SD - Apr 24, 2026 (31 programs)
ℹ   [222/268] osn.com (en) - GMAPinoyTVMiddleEast.ph@SD - Apr 25, 2026 (27 programs)
ℹ   [223/268] osn.com (en) - History2MiddleEast.us@SD - Apr 24, 2026 (33 programs)
ℹ   [224/268] osn.com (en) - History2MiddleEast.us@SD - Apr 25, 2026 (33 programs)
ℹ   [225/268] osn.com (en) - HistoryMiddleEast.us@SD - Apr 24, 2026 (36 programs)
ℹ   [226/268] osn.com (en) - HistoryMiddleEast.us@SD - Apr 25, 2026 (34 programs)
ℹ   [227/268] osn.com (en) - InvestigationDiscoveryEurope.us@SD - Apr 24, 2026 (24 programs)
ℹ   [228/268] osn.com (en) - InvestigationDiscoveryEurope.us@SD - Apr 25, 2026 (26 programs)
ℹ   [229/268] osn.com (en) - MoonbugKids.uk@SD - Apr 24, 2026 (47 programs)
ℹ   [230/268] osn.com (en) - MoonbugKids.uk@SD - Apr 25, 2026 (46 programs)
ℹ   [231/268] osn.com (en) - MusicNow.ae@SD - Apr 24, 2026 (348 programs)
ℹ   [232/268] osn.com (en) - MusicNow.ae@SD - Apr 25, 2026 (344 programs)
ℹ   [233/268] osn.com (en) - MyxMiddleEast.ph@SD - Apr 24, 2026 (30 programs)
ℹ   [234/268] osn.com (en) - MyxMiddleEast.ph@SD - Apr 25, 2026 (29 programs)
ℹ   [235/268] osn.com (en) - NickelodeonArabia.ae@SD - Apr 24, 2026 (67 programs)
ℹ   [236/268] osn.com (en) - NickelodeonArabia.ae@SD - Apr 25, 2026 (64 programs)
ℹ   [237/268] osn.com (en) - NickJrArabia.ae@SD - Apr 25, 2026 (90 programs)
ℹ   [238/268] osn.com (en) - NickJrArabia.ae@SD - Apr 24, 2026 (92 programs)
ℹ   [239/268] osn.com (en) - NicktoonsArabia.ae@SD - Apr 24, 2026 (73 programs)
ℹ   [240/268] osn.com (en) - NicktoonsArabia.ae@SD - Apr 25, 2026 (71 programs)
ℹ   [241/268] osn.com (en) - OSNComedy.ae@SD - Apr 24, 2026 (58 programs)
ℹ   [242/268] osn.com (en) - OSNComedy.ae@SD - Apr 25, 2026 (67 programs)
ℹ   [243/268] osn.com (en) - OSNKids.ae@SD - Apr 24, 2026 (109 programs)
ℹ   [244/268] osn.com (en) - OSNKids.ae@SD - Apr 25, 2026 (124 programs)
ℹ   [245/268] osn.com (en) - OSNMezze.ae@SD - Apr 24, 2026 (28 programs)
ℹ   [246/268] osn.com (en) - OSNMezze.ae@SD - Apr 25, 2026 (30 programs)
ℹ   [247/268] osn.com (en) - OSNMoviesAction.ae@SD - Apr 25, 2026 (12 programs)
ℹ   [248/268] osn.com (en) - OSNMoviesAction.ae@SD - Apr 24, 2026 (12 programs)
ℹ   [249/268] osn.com (en) - OSNMoviesHollywood.ae@SD - Apr 24, 2026 (14 programs)
ℹ   [250/268] osn.com (en) - OSNMoviesHollywood.ae@SD - Apr 25, 2026 (14 programs)
ℹ   [251/268] osn.com (en) - OSNMoviesPremiere.ae@SD - Apr 24, 2026 (12 programs)
ℹ   [252/268] osn.com (en) - OSNMoviesPremiere.ae@SD - Apr 25, 2026 (12 programs)
ℹ   [253/268] osn.com (en) - OSNShowcase.ae@SD - Apr 24, 2026 (45 programs)
ℹ   [254/268] osn.com (en) - OSNShowcase.ae@SD - Apr 25, 2026 (42 programs)
ℹ   [255/268] osn.com (en) - OSNYahala.ae@SD - Apr 24, 2026 (33 programs)
ℹ   [256/268] osn.com (en) - OSNYahala.ae@SD - Apr 25, 2026 (32 programs)
ℹ   [257/268] osn.com (en) - OSNYahalaAflam.ae@SD - Apr 24, 2026 (16 programs)
ℹ   [258/268] osn.com (en) - OSNYahalaAflam.ae@SD - Apr 25, 2026 (15 programs)
ℹ   [259/268] osn.com (en) - OSNYahalaBilArabi.ae@SD - Apr 24, 2026 (30 programs)
ℹ   [260/268] osn.com (en) - OSNYahalaBilArabi.ae@SD - Apr 25, 2026 (31 programs)
ℹ   [261/268] osn.com (en) - PBARush.ph@HD - Apr 24, 2026 (23 programs)
