═══════════════════════════════════════════════════════════════
  Site            : tvpassport.com
  Status          : TIMEOUT
  Attempts used   : 10 / 10
  Total elapsed   : 991s
  Channels        : 5806
  With programmes : 5788
  Empty channels  : 18
  Total programs  : 0
  Output size     : 0 bytes
  Generated       : 2026-04-24 13:11:18
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:54:47 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tvpassport.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 19287 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [120/38574] tvpassport.com (en) - 3abn-latino-w48cl-d4-grand-rapids-mi/15757 - Apr 25, 2026 (35 programs)
ℹ   [121/38574] tvpassport.com (en) - 3abn-latino-w50co-dt4-jacksonville-fl/17791 - Apr 24, 2026 (35 programs)
ℹ   [122/38574] tvpassport.com (en) - 3abn-latino-w50co-dt4-jacksonville-fl/17791 - Apr 25, 2026 (35 programs)
ℹ   [123/38574] tvpassport.com (en) - 3abn-latino-wjnk-dt4-nashville-tn/15472 - Apr 24, 2026 (7 programs)
ℹ   [124/38574] tvpassport.com (en) - 3abn-latino-w50ea-d4-memphis-tn/15720 - Apr 24, 2026 (35 programs)
ℹ   [125/38574] tvpassport.com (en) - 3abn-latino-w50ea-d4-memphis-tn/15720 - Apr 25, 2026 (35 programs)
ℹ   [126/38574] tvpassport.com (en) - 3abn-latino-wjnk-dt4-nashville-tn/15472 - Apr 25, 2026 (7 programs)
ℹ   [127/38574] tvpassport.com (en) - 3abn-latino-wtpm-dt3-puerto-rico/17468 - Apr 24, 2026 (35 programs)
ℹ   [128/38574] tvpassport.com (en) - 3abn-latino-wtpm-dt3-puerto-rico/17468 - Apr 25, 2026 (35 programs)
ℹ   [129/38574] tvpassport.com (en) - 3abn-latino-wygn-dt2-south-bend-in/17323 - Apr 25, 2026 (35 programs)
ℹ   [130/38574] tvpassport.com (en) - 3abn-latino-wygn-dt2-south-bend-in/17323 - Apr 24, 2026 (35 programs)
ℹ   [131/38574] tvpassport.com (en) - 3abn-proclaim-k17du-d2-christmas-valley-or/37330 - Apr 24, 2026 (31 programs)
ℹ   [132/38574] tvpassport.com (en) - 3abn-proclaim-k17du-d2-christmas-valley-or/37330 - Apr 25, 2026 (31 programs)
ℹ   [133/38574] tvpassport.com (en) - 3abn-proclaim-k17ji-d2-fresno-ca/17898 - Apr 24, 2026 (41 programs)
ℹ   [134/38574] tvpassport.com (en) - 3abn-proclaim-k17ji-d2-fresno-ca/17898 - Apr 25, 2026 (41 programs)
ℹ   [135/38574] tvpassport.com (en) - 3abn-proclaim-k21do-d2-palm-springs-ca/17928 - Apr 24, 2026 (11 programs)
ℹ   [136/38574] tvpassport.com (en) - 3abn-proclaim-k21do-d2-palm-springs-ca/17928 - Apr 25, 2026 (11 programs)
ℹ   [137/38574] tvpassport.com (en) - 3abn-proclaim-k23ju-d2-prosser-wa/34709 - Apr 24, 2026 (31 programs)
ℹ   [138/38574] tvpassport.com (en) - 3abn-proclaim-k23ju-d2-prosser-wa/34709 - Apr 25, 2026 (31 programs)
ℹ   [139/38574] tvpassport.com (en) - 3abn-proclaim-k25fp-d2-ellensburg-wa/34713 - Apr 25, 2026 (31 programs)
ℹ   [140/38574] tvpassport.com (en) - 3abn-proclaim-k25fp-d2-ellensburg-wa/34713 - Apr 24, 2026 (31 programs)
ℹ   [141/38574] tvpassport.com (en) - 3abn-proclaim-k31nf-d3-verde-valley-etc-az/35566 - Apr 25, 2026 (31 programs)
ℹ   [142/38574] tvpassport.com (en) - 3abn-proclaim-k31nf-d3-verde-valley-etc-az/35566 - Apr 24, 2026 (31 programs)
ℹ   [143/38574] tvpassport.com (en) - 3abn-proclaim-k32lo-d3-prescott-az/35587 - Apr 24, 2026 (31 programs)
ℹ   [144/38574] tvpassport.com (en) - 3abn-proclaim-k32lo-d3-prescott-az/35587 - Apr 25, 2026 (31 programs)
ℹ   [145/38574] tvpassport.com (en) - 3abn-proclaim-k36ku-d2-twin-falls-id/36879 - Apr 24, 2026 (31 programs)
ℹ   [146/38574] tvpassport.com (en) - 3abn-proclaim-k36ku-d2-twin-falls-id/36879 - Apr 25, 2026 (31 programs)
ℹ   [147/38574] tvpassport.com (en) - 3abn-proclaim-k43fo-d2-las-vegas-nv/18090 - Apr 24, 2026 (13 programs)
ℹ   [148/38574] tvpassport.com (en) - 3abn-proclaim-k44gh-d2-alexandria-mn/34421 - Apr 24, 2026 (31 programs)
ℹ   [149/38574] tvpassport.com (en) - 3abn-proclaim-k43fo-d2-las-vegas-nv/18090 - Apr 25, 2026 (13 programs)
ℹ   [150/38574] tvpassport.com (en) - 3abn-proclaim-k44gh-d2-alexandria-mn/34421 - Apr 25, 2026 (31 programs)
ℹ   [151/38574] tvpassport.com (en) - 3abn-proclaim-kcyh-ld2-ardmore-ok/17960 - Apr 25, 2026 (31 programs)
ℹ   [152/38574] tvpassport.com (en) - 3abn-proclaim-kcyh-ld2-ardmore-ok/17960 - Apr 24, 2026 (31 programs)
ℹ   [153/38574] tvpassport.com (en) - 3abn-proclaim-klfb-ld3-salinas-ca/31056 - Apr 25, 2026 (43 programs)
ℹ   [154/38574] tvpassport.com (en) - 3abn-proclaim-klfb-ld3-salinas-ca/31056 - Apr 24, 2026 (43 programs)
ℹ   [155/38574] tvpassport.com (en) - 3abn-proclaim-kmbb-ld3-north-platte-ne/17818 - Apr 24, 2026 (31 programs)
ℹ   [156/38574] tvpassport.com (en) - 3abn-proclaim-kmbb-ld3-north-platte-ne/17818 - Apr 25, 2026 (31 programs)
ℹ   [157/38574] tvpassport.com (en) - 3abn-proclaim-w14cx-d2-knoxville-tn/36789 - Apr 24, 2026 (31 programs)
ℹ   [158/38574] tvpassport.com (en) - 3abn-proclaim-w14cx-d2-knoxville-tn/36789 - Apr 25, 2026 (31 programs)
ℹ   [159/38574] tvpassport.com (en) - 3abn-proclaim-w15bu-d2-johnson-city-il/18105 - Apr 24, 2026 (31 programs)
ℹ   [160/38574] tvpassport.com (en) - 3abn-proclaim-w15bu-d2-johnson-city-il/18105 - Apr 25, 2026 (31 programs)
ℹ   [161/38574] tvpassport.com (en) - 3abn-proclaim-w23eb-d4-cadillac-mi/37164 - Apr 24, 2026 (35 programs)
ℹ   [162/38574] tvpassport.com (en) - 3abn-proclaim-w28dy-d2-sault-ste-marie-mi/37173 - Apr 24, 2026 (31 programs)
