═══════════════════════════════════════════════════════════════
  Site            : tv24.co.uk
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 197s
  Channels        : 2144
  With programmes : 1204
  Empty channels  : 940
  Total programs  : 35238
  Output size     : 10998048 bytes
  Generated       : 2026-04-24 12:28:33
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:25:16 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tv24.co.uk --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 1072 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [114/2144] tv24.co.uk (en) - ayozat-tv - Apr 25, 2026 (0 programs)
ℹ   [115/2144] tv24.co.uk (en) - b4u-movies - Apr 24, 2026 (9 programs)
ℹ   [116/2144] tv24.co.uk (en) - b4u-movies - Apr 25, 2026 (9 programs)
ℹ   [117/2144] tv24.co.uk (en) - b4u-music - Apr 24, 2026 (36 programs)
ℹ   [118/2144] tv24.co.uk (en) - b4u-music - Apr 25, 2026 (36 programs)
ℹ   [119/2144] tv24.co.uk (en) - baden-tv - Apr 24, 2026 (51 programs)
ℹ   [120/2144] tv24.co.uk (en) - baden-tv - Apr 25, 2026 (64 programs)
ℹ   [121/2144] tv24.co.uk (en) - bayerisches-fernsehen-nord-hd - Apr 24, 2026 (36 programs)
ℹ   [122/2144] tv24.co.uk (en) - bayerisches-fernsehen-nord-hd - Apr 25, 2026 (33 programs)
ℹ   [123/2144] tv24.co.uk (en) - bayerisches-fernsehen-sued-hd - Apr 24, 2026 (0 programs)
ℹ   [124/2144] tv24.co.uk (en) - bayerisches-fernsehen-sued-hd - Apr 25, 2026 (0 programs)
ℹ   [125/2144] tv24.co.uk (en) - baby-tv - Apr 24, 2026 (356 programs)
ℹ   [126/2144] tv24.co.uk (en) - baby-tv - Apr 25, 2026 (349 programs)
ℹ   [127/2144] tv24.co.uk (en) - baywatch-1 - Apr 24, 2026 (30 programs)
ℹ   [128/2144] tv24.co.uk (en) - baywatch-2 - Apr 24, 2026 (0 programs)
ℹ   [129/2144] tv24.co.uk (en) - baywatch-1 - Apr 25, 2026 (30 programs)
ℹ   [130/2144] tv24.co.uk (en) - baywatch-2 - Apr 25, 2026 (0 programs)
ℹ   [131/2144] tv24.co.uk (en) - bbc1 - Apr 24, 2026 (0 programs)
ℹ   [132/2144] tv24.co.uk (en) - bbc1-northern-ireland - Apr 25, 2026 (0 programs)
ℹ   [133/2144] tv24.co.uk (en) - bbc1 - Apr 25, 2026 (0 programs)
ℹ   [134/2144] tv24.co.uk (en) - bbc1-northern-ireland - Apr 24, 2026 (0 programs)
ℹ   [135/2144] tv24.co.uk (en) - bbc1-scotland - Apr 24, 2026 (0 programs)
ℹ   [136/2144] tv24.co.uk (en) - bbc1-scotland - Apr 25, 2026 (0 programs)
ℹ   [137/2144] tv24.co.uk (en) - bbc1-south - Apr 25, 2026 (0 programs)
ℹ   [138/2144] tv24.co.uk (en) - bbc1-south - Apr 24, 2026 (0 programs)
ℹ   [139/2144] tv24.co.uk (en) - bbc1-wales - Apr 24, 2026 (0 programs)
ℹ   [140/2144] tv24.co.uk (en) - bbc1-wales - Apr 25, 2026 (0 programs)
ℹ   [141/2144] tv24.co.uk (en) - bbc2-england - Apr 24, 2026 (29 programs)
ℹ   [142/2144] tv24.co.uk (en) - bbc2-england - Apr 25, 2026 (21 programs)
ℹ   [143/2144] tv24.co.uk (en) - bbc3-england-hd-vm - Apr 24, 2026 (0 programs)
ℹ   [144/2144] tv24.co.uk (en) - bbc3-england-hd-vm - Apr 25, 2026 (0 programs)
ℹ   [145/2144] tv24.co.uk (en) - bbc3-northern-ireland-hd-vm - Apr 24, 2026 (0 programs)
ℹ   [146/2144] tv24.co.uk (en) - bbc3-northern-ireland-hd-vm - Apr 25, 2026 (0 programs)
